# Huntsville Refrence (Up to date)
# 750 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (89.6 ft/s)
#
# Time (s),CP location (in),CG location (in),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,NaN,83.341,NaN
0.02,NaN,83.335,NaN
0.03,NaN,83.329,NaN
0.04,NaN,83.324,NaN
0.05,NaN,83.318,NaN
# Event LIFTOFF occurred at t=0.06 seconds
0.06,NaN,83.307,NaN
0.07,NaN,83.293,NaN
0.08,NaN,83.279,NaN
0.09,NaN,83.266,NaN
0.1,NaN,83.252,NaN
0.11,NaN,83.238,NaN
0.12,NaN,83.225,NaN
0.13,NaN,83.211,NaN
0.14,NaN,83.197,NaN
0.15,NaN,83.184,NaN
0.16,NaN,83.17,NaN
0.17,NaN,83.156,NaN
0.18,NaN,83.142,NaN
0.19,NaN,83.126,NaN
0.2,NaN,83.11,NaN
0.21,NaN,83.094,NaN
0.22,NaN,83.078,NaN
0.23,NaN,83.063,NaN
0.24,NaN,83.047,NaN
0.25,NaN,83.031,NaN
0.26,NaN,83.015,NaN
0.27,NaN,82.999,NaN
0.28,NaN,82.983,NaN
0.29,NaN,82.967,NaN
0.3,NaN,82.951,NaN
0.31,NaN,82.936,NaN
0.32,NaN,82.92,NaN
0.33,NaN,82.904,NaN
0.34,NaN,82.889,NaN
0.35,NaN,82.873,NaN
# Event LAUNCHROD occurred at t=0.36 seconds
0.36,NaN,82.857,NaN
0.375,95.435,82.834,2.447
0.398,95.802,82.798,2.525
0.431,96.301,82.745,2.632
0.481,96.962,82.666,2.776
0.531,97.565,82.586,2.908
0.581,98.136,82.505,3.035
0.631,98.694,82.424,3.159
0.681,99.253,82.342,3.284
0.731,99.82,82.258,3.41
0.781,100.397,82.175,3.538
0.831,100.978,82.09,3.668
0.881,101.552,82.004,3.796
0.931,101.503,81.918,3.803
0.981,101.06,81.831,3.734
1.031,100.711,81.743,3.683
1.081,100.473,81.654,3.654
1.131,100.357,81.565,3.649
1.181,100.369,81.476,3.669
1.231,100.513,81.386,3.714
1.281,100.781,81.295,3.784
1.331,101.153,81.205,3.873
1.381,101.595,81.114,3.977
1.431,101.878,81.024,4.049
1.481,101.513,80.933,3.996
1.531,101.262,80.843,3.965
1.581,101.163,80.752,3.963
1.631,101.23,80.661,3.994
1.681,101.452,80.57,4.055
1.731,101.791,80.48,4.138
1.781,102.077,80.389,4.211
1.831,101.786,80.299,4.172
1.881,101.62,80.21,4.157
1.931,101.62,80.12,4.175
1.981,101.787,80.031,4.225
2.031,102.076,79.941,4.298
2.081,102.167,79.853,4.333
